payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,read_path_speedup,write_path_speedup,logical_blocks,cold_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,write_throughput_bytes_per_s,meets_read_500_MBps_target,meets_write_500_MBps_target,meets_roundtrip_target,meets_all_targets
1073741824,1024 MB,64,262144,256 KB,128,2,4096,6142.121675452205,303859.5215231731,310001.6431986253,174816110.9037208,3533678.387360041,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,4,4096,6142.121675452205,152201.76076158654,158343.88243703876,174816110.9037208,7054726.690592902,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,8,4096,6142.121675452205,76372.8803807933,82515.0020562455,174816110.9037208,14059202.93494693,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,16,4096,6142.121675452205,38458.44019039665,44600.56186584885,174816110.9037208,27919536.48364868,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,32,4096,6142.121675452205,19501.22009519832,25643.341770650528,174816110.9037208,55060238.21885799,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,64,4096,6142.121675452205,10022.610047599164,16164.731723051369,174816110.9037208,107131956.53633219,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,128,4096,6142.121675452205,5283.305023799581,11425.426699251786,174816110.9037208,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,256,4096,6126.121675452205,2897.6525118997906,9023.774187351995,175272689.78390652,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,1,4096,4958.121675452205,607159.0430463463,612117.1647217985,216562217.36471796,1768468.7995630135,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,2,4096,4958.121675452205,303843.5215231731,308801.6431986253,216562217.36471796,3533864.4662137693,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,4,4096,4958.121675452205,152185.76076158654,157143.88243703876,216562217.36471796,7055468.386967678,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,8,4096,4958.121675452205,76356.8803807933,81315.0020562455,216562217.36471796,14062148.933340754,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,16,4096,4958.121675452205,38442.44019039665,43400.56186584885,216562217.36471796,27931156.780943178,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,32,4096,4958.121675452205,19485.22009519832,24443.341770650528,216562217.36471796,55105450.11829754,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,256,64,4096,4958.121675452205,10006.610047599164,14964.731723051369,216562217.36471796,107303254.43806192,False,False,False,False
