payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,molecular_write_speedup,logical_blocks,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_throughput_bytes_per_s,cold_read_throughput_bytes_per_s,write_rank
1073741824,1024 MB,32,65536,64 KB,16,16384,249396.8803807933,636400.9734036176,885797.853784411,4305353.869545401,1687209.587781401,65
1073741824,1024 MB,64,4096,4 KB,4,262144,253033.76076158654,544647.7872289411,797681.5479905277,4243472.573652735,1971442.552742174,66
1073741824,1024 MB,32,16384,16 KB,16,65536,261684.8803807933,726979.8936144705,988664.7739952637,4103186.330205758,1476989.7124134537,67
1073741824,1024 MB,32,4096,4 KB,64,262144,262029.22009519834,1089295.5744578822,1351324.7945530806,4097794.221613516,985721.276371087,68
1073741824,1024 MB,32,4096,4 KB,32,262144,278298.4401903966,1089295.5744578822,1367594.0146482787,3858238.742787794,985721.276371087,69
1073741824,1024 MB,128,1048576,1 MB,1,1024,305427.52152317314,152023.76520943153,457451.28673260467,3515537.233335189,7062986.6489675995,70
1073741824,1024 MB,128,262144,256 KB,1,4096,305619.52152317314,153439.0608377261,459058.58236089925,3513328.6599252303,6997838.869305688,71
1073741824,1024 MB,128,65536,64 KB,1,16384,306387.52152317314,159100.2433509044,465487.7648740775,3504522.046661712,6748838.351125604,72
1073741824,1024 MB,128,16384,16 KB,1,65536,309459.52152317314,181744.97340361762,491204.49492679077,3469732.709192454,5907958.849653815,73
1073741824,1024 MB,32,1048576,1 MB,8,1024,310633.7607615866,608095.0608377261,918728.8215993127,3456616.6322922762,1765746.6622418999,74
1073741824,1024 MB,32,4096,4 KB,16,262144,310836.8803807933,1089295.5744578822,1400132.4548386754,3454357.8699046387,985721.276371087,75
1073741824,1024 MB,32,262144,256 KB,8,4096,311401.7607615866,613756.2433509044,925158.004112491,3448091.6914984025,1749459.717326422,76
1073741824,1024 MB,32,65536,64 KB,8,16384,314473.7607615866,636400.9734036176,950874.7341652042,3414408.316292057,1687209.587781401,77
1073741824,1024 MB,128,4096,4 KB,1,262144,321747.52152317314,272323.89361447055,594071.4151376437,3337218.633159436,3942885.105484348,78
1073741824,1024 MB,32,16384,16 KB,8,65536,326761.7607615866,726979.8936144705,1053741.654376057,3286008.1959939874,1476989.7124134537,79
1073741824,1024 MB,64,1048576,1 MB,2,1024,350547.5215231731,304047.53041886305,654595.0519420361,3063042.1214631805,3531493.3244837997,80
1073741824,1024 MB,64,262144,256 KB,2,4096,350931.5215231731,306878.1216754522,657809.6431986253,3059690.4471264416,3498919.434652844,81
1073741824,1024 MB,64,65536,64 KB,2,16384,352467.5215231731,318200.4867018088,670668.0082249818,3046356.78022154,3374419.175562802,82
1073741824,1024 MB,64,16384,16 KB,2,65536,358611.5215231731,363489.94680723525,722101.4683304083,2994164.3242229624,2953979.4248269075,83
1073741824,1024 MB,32,4096,4 KB,8,262144,375913.7607615866,1089295.5744578822,1465209.335219469,2856351.4722755584,985721.276371087,84
1073741824,1024 MB,64,4096,4 KB,2,262144,383187.5215231731,544647.7872289411,927835.3087521142,2802131.498781246,1971442.552742174,85
1073741824,1024 MB,16,1048576,1 MB,64,1024,393498.4401903967,1216190.1216754522,1609688.561865849,2728706.6842767233,882873.3311209499,86
1073741824,1024 MB,16,262144,256 KB,64,4096,395034.4401903967,1227512.4867018089,1622546.9268922056,2718096.739824719,874729.858663211,87
1073741824,1024 MB,16,65536,64 KB,64,16384,401178.4401903967,1272801.9468072352,1673980.386997632,2676469.412190768,843604.7938907004,88
1073741824,1024 MB,16,16384,16 KB,64,65536,425754.4401903967,1453959.787228941,1879714.2274193377,2521974.459079803,738494.8562067269,89
1073741824,1024 MB,16,1048576,1 MB,32,1024,426036.8803807933,1216190.1216754522,1642227.0020562455,2520302.5217917417,882873.3311209499,90
1073741824,1024 MB,16,262144,256 KB,32,4096,427572.8803807933,1227512.4867018089,1655085.367082602,2511248.6625525295,874729.858663211,91
1073741824,1024 MB,16,65536,64 KB,32,16384,433716.8803807933,1272801.9468072352,1706518.8271880285,2475674.506967033,843604.7938907004,92
1073741824,1024 MB,32,1048576,1 MB,4,1024,440787.5215231731,608095.0608377261,1048882.582360899,2435962.389065842,1765746.6622418999,93
1073741824,1024 MB,32,262144,256 KB,4,4096,441555.5215231731,613756.2433509044,1055311.7648740774,2431725.5059931334,1749459.717326422,94
1073741824,1024 MB,32,65536,64 KB,4,16384,444627.5215231731,636400.9734036176,1081028.4949267907,2414924.340089548,1687209.587781401,95
1073741824,1024 MB,32,16384,16 KB,4,65536,456915.5215231731,726979.8936144705,1183895.4151376435,2349978.8766653743,1476989.7124134537,96
1073741824,1024 MB,16,16384,16 KB,32,65536,458292.8803807933,1453959.787228941,1912252.6676097342,2342916.2222808986,738494.8562067269,97
1073741824,1024 MB,16,1048576,1 MB,16,1024,491113.7607615866,1216190.1216754522,1707303.8824370387,2186340.3345386055,882873.3311209499,98
1073741824,1024 MB,16,262144,256 KB,16,4096,492649.7607615866,1227512.4867018089,1720162.2474633954,2179523.6890810705,874729.858663211,99
1073741824,1024 MB,16,65536,64 KB,16,16384,498793.7607615866,1272801.9468072352,1771595.707568822,2152676.9347727005,843604.7938907004,100
1073741824,1024 MB,32,4096,4 KB,4,262144,506067.5215231731,1089295.5744578822,1595363.0959810554,2121736.2868263675,985721.276371087,101
1073741824,1024 MB,16,16384,16 KB,16,65536,523369.7607615866,1453959.787228941,1977329.5479905275,2051593.165102879,738494.8562067269,102
1073741824,1024 MB,16,4096,4 KB,64,262144,524058.4401903967,2178591.1489157644,2702649.589106161,2048897.110806758,492860.6381855435,103
1073741824,1024 MB,16,4096,4 KB,32,262144,556596.8803807932,2178591.1489157644,2735188.0292965574,1929119.371393897,492860.6381855435,104
1073741824,1024 MB,64,1048576,1 MB,1,1024,610855.0430463463,304047.53041886305,914902.5734652093,1757768.6166675945,3531493.3244837997,105
1073741824,1024 MB,64,262144,256 KB,1,4096,611239.0430463463,306878.1216754522,918117.1647217985,1756664.3299626152,3498919.434652844,106
1073741824,1024 MB,64,65536,64 KB,1,16384,612775.0430463463,318200.4867018088,930975.529748155,1752261.023330856,3374419.175562802,107
1073741824,1024 MB,64,16384,16 KB,1,65536,618919.0430463463,363489.94680723525,982408.9898535815,1734866.354596227,2953979.4248269075,108
1073741824,1024 MB,16,1048576,1 MB,8,1024,621267.5215231732,1216190.1216754522,1837457.6431986254,1728308.3161461381,882873.3311209499,109
1073741824,1024 MB,16,4096,4 KB,16,262144,621673.7607615866,2178591.1489157644,2800264.909677351,1727178.9349523194,492860.6381855435,110
1073741824,1024 MB,16,262144,256 KB,8,4096,622803.5215231732,1227512.4867018089,1850316.008224982,1724045.8457492013,874729.858663211,111
1073741824,1024 MB,16,65536,64 KB,8,16384,628947.5215231732,1272801.9468072352,1901749.4683304084,1707204.1581460284,843604.7938907004,112
1073741824,1024 MB,64,4096,4 KB,1,262144,643495.0430463463,544647.7872289411,1188142.8302752874,1668609.316579718,1971442.552742174,113
1073741824,1024 MB,16,16384,16 KB,8,65536,653523.5215231732,1453959.787228941,2107483.308752114,1643004.0979969937,738494.8562067269,114
1073741824,1024 MB,32,1048576,1 MB,2,1024,701095.0430463462,608095.0608377261,1309190.1038840723,1531521.0607315903,1765746.6622418999,115
1073741824,1024 MB,32,262144,256 KB,2,4096,701863.0430463462,613756.2433509044,1315619.2863972506,1529845.2235632208,1749459.717326422,116
1073741824,1024 MB,32,65536,64 KB,2,16384,704935.0430463462,636400.9734036176,1341336.0164499637,1523178.39011077,1687209.587781401,117
1073741824,1024 MB,32,16384,16 KB,2,65536,717223.0430463462,726979.8936144705,1444202.9366608167,1497082.1621114812,1476989.7124134537,118
1073741824,1024 MB,16,4096,4 KB,8,262144,751827.5215231732,2178591.1489157644,2930418.670438938,1428175.7361377792,492860.6381855435,119
1073741824,1024 MB,32,4096,4 KB,2,262144,766375.0430463462,1089295.5744578822,1855670.6175042284,1401065.749390623,985721.276371087,120
1073741824,1024 MB,8,1048576,1 MB,64,1024,786996.8803807934,2432380.2433509044,3219377.123731698,1364353.3421383617,441436.66556047497,121
1073741824,1024 MB,8,262144,256 KB,64,4096,790068.8803807934,2455024.9734036177,3245093.853784411,1359048.3699123594,437364.9293316055,122
1073741824,1024 MB,8,65536,64 KB,64,16384,802356.8803807934,2545603.8936144705,3347960.773995264,1338234.706095384,421802.3969453502,123
1073741824,1024 MB,8,16384,16 KB,64,65536,851508.8803807934,2907919.574457882,3759428.4548386754,1260987.2295399015,369247.42810336343,124
1073741824,1024 MB,8,1048576,1 MB,32,1024,852073.7607615866,2432380.2433509044,3284454.004112491,1260151.2608958709,441436.66556047497,125
1073741824,1024 MB,8,262144,256 KB,32,4096,855145.7607615866,2455024.9734036177,3310170.734165204,1255624.3312762647,437364.9293316055,126
1073741824,1024 MB,8,65536,64 KB,32,16384,867433.7607615866,2545603.8936144705,3413037.654376057,1237837.2534835164,421802.3969453502,127
1073741824,1024 MB,16,1048576,1 MB,4,1024,881575.0430463462,1216190.1216754522,2097765.164721798,1217981.194532921,882873.3311209499,128
1073741824,1024 MB,16,262144,256 KB,4,4096,883111.0430463462,1227512.4867018089,2110623.529748155,1215862.7529965667,874729.858663211,129
1073741824,1024 MB,16,65536,64 KB,4,16384,889255.0430463462,1272801.9468072352,2162056.9898535814,1207462.170044774,843604.7938907004,130
1073741824,1024 MB,16,16384,16 KB,4,65536,913831.0430463462,1453959.787228941,2367790.830275287,1174989.4383326871,738494.8562067269,131
1073741824,1024 MB,8,16384,16 KB,32,65536,916585.7607615866,2907919.574457882,3824505.3352194685,1171458.1111404493,369247.42810336343,132
1073741824,1024 MB,8,1048576,1 MB,16,1024,982227.5215231732,2432380.2433509044,3414607.7648740774,1093170.1672693028,441436.66556047497,133
1073741824,1024 MB,8,262144,256 KB,16,4096,985299.5215231732,2455024.9734036177,3440324.4949267907,1089761.8445405352,437364.9293316055,134
1073741824,1024 MB,8,65536,64 KB,16,16384,997587.5215231732,2545603.8936144705,3543191.415137644,1076338.4673863503,421802.3969453502,135
1073741824,1024 MB,16,4096,4 KB,4,262144,1012135.0430463462,2178591.1489157644,3190726.191962111,1060868.1434131837,492860.6381855435,136
1073741824,1024 MB,8,16384,16 KB,16,65536,1046739.5215231732,2907919.574457882,3954659.095981055,1025796.5825514395,369247.42810336343,137
1073741824,1024 MB,8,4096,4 KB,64,262144,1048116.8803807934,4357182.297831529,5405299.178212322,1024448.555403379,246430.31909277174,138
1073741824,1024 MB,8,4096,4 KB,32,262144,1113193.7607615865,4357182.297831529,5470376.058593115,964559.6856969486,246430.31909277174,139
1073741824,1024 MB,32,1048576,1 MB,1,1024,1221710.0860926926,608095.0608377261,1829805.1469304187,878884.3083337973,1765746.6622418999,140
1073741824,1024 MB,32,262144,256 KB,1,4096,1222478.0860926926,613756.2433509044,1836234.329443597,878332.1649813076,1749459.717326422,141
1073741824,1024 MB,32,65536,64 KB,1,16384,1225550.0860926926,636400.9734036176,1861951.05949631,876130.511665428,1687209.587781401,142
1073741824,1024 MB,32,16384,16 KB,1,65536,1237838.0860926926,726979.8936144705,1964817.979707163,867433.1772981135,1476989.7124134537,143
1073741824,1024 MB,8,1048576,1 MB,8,1024,1242535.0430463464,2432380.2433509044,3674915.286397251,864154.1580730691,441436.66556047497,144
1073741824,1024 MB,8,4096,4 KB,16,262144,1243347.5215231732,4357182.297831529,5600529.819354702,863589.4674761597,246430.31909277174,145
1073741824,1024 MB,8,262144,256 KB,8,4096,1245607.0430463464,2455024.9734036177,3700632.016449964,862022.9228746006,437364.9293316055,146
1073741824,1024 MB,8,65536,64 KB,8,16384,1257895.0430463464,2545603.8936144705,3803498.936660817,853602.0790730142,421802.3969453502,147
1073741824,1024 MB,32,4096,4 KB,1,262144,1286990.0860926926,1089295.5744578822,2376285.660550575,834304.658289859,985721.276371087,148
1073741824,1024 MB,8,16384,16 KB,8,65536,1307047.0430463464,2907919.574457882,4214966.617504228,821502.0489984968,369247.42810336343,149
1073741824,1024 MB,16,1048576,1 MB,2,1024,1402190.0860926923,1216190.1216754522,2618380.2077681446,765760.5303657951,882873.3311209499,150
1073741824,1024 MB,16,262144,256 KB,2,4096,1403726.0860926923,1227512.4867018089,2631238.572794501,764922.6117816104,874729.858663211,151
1073741824,1024 MB,16,65536,64 KB,2,16384,1409870.0860926923,1272801.9468072352,2682672.0328999273,761589.195055385,843604.7938907004,152
1073741824,1024 MB,16,16384,16 KB,2,65536,1434446.0860926923,1453959.787228941,2888405.8733216333,748541.0810557406,738494.8562067269,153
1073741824,1024 MB,8,4096,4 KB,8,262144,1503655.0430463464,4357182.297831529,5860837.340877876,714087.8680688896,246430.31909277174,154
1073741824,1024 MB,16,4096,4 KB,2,262144,1532750.0860926923,2178591.1489157644,3711341.2350084567,700532.8746953115,492860.6381855435,155
1073741824,1024 MB,4,1048576,1 MB,64,1024,1573993.7607615867,4864760.486701809,6438754.247463396,682176.6710691808,220718.33278023748,156
1073741824,1024 MB,4,262144,256 KB,64,4096,1580137.7607615867,4910049.9468072355,6490187.707568822,679524.1849561797,218682.46466580275,157
1073741824,1024 MB,4,65536,64 KB,64,16384,1604713.7607615867,5091207.787228941,6695921.547990528,669117.353047692,210901.1984726751,158
1073741824,1024 MB,4,16384,16 KB,64,65536,1703017.7607615867,5815839.148915764,7518856.909677351,630493.6147699507,184623.71405168172,159
1073741824,1024 MB,4,1048576,1 MB,32,1024,1704147.5215231732,4864760.486701809,6568908.008224982,630075.6304479354,220718.33278023748,160
1073741824,1024 MB,4,262144,256 KB,32,4096,1710291.5215231732,4910049.9468072355,6620341.468330408,627812.1656381324,218682.46466580275,161
1073741824,1024 MB,4,65536,64 KB,32,16384,1734867.5215231732,5091207.787228941,6826075.308752114,618918.6267417582,210901.1984726751,162
1073741824,1024 MB,8,1048576,1 MB,4,1024,1763150.0860926923,2432380.2433509044,4195530.329443596,608990.5972664605,441436.66556047497,163
1073741824,1024 MB,8,262144,256 KB,4,4096,1766222.0860926923,2455024.9734036177,4221247.05949631,607931.3764982834,437364.9293316055,164
1073741824,1024 MB,8,65536,64 KB,4,16384,1778510.0860926923,2545603.8936144705,4324113.979707163,603731.085022387,421802.3969453502,165
1073741824,1024 MB,8,16384,16 KB,4,65536,1827662.0860926923,2907919.574457882,4735581.660550574,587494.7191663436,369247.42810336343,166
1073741824,1024 MB,4,16384,16 KB,32,65536,1833171.5215231732,5815839.148915764,7649010.670438937,585729.0555702246,184623.71405168172,167
1073741824,1024 MB,4,1048576,1 MB,16,1024,1964455.0430463464,4864760.486701809,6829215.529748155,546585.0836346514,220718.33278023748,168
1073741824,1024 MB,4,262144,256 KB,16,4096,1970599.0430463464,4910049.9468072355,6880648.989853581,544880.9222702676,218682.46466580275,169
1073741824,1024 MB,4,65536,64 KB,16,16384,1995175.0430463464,5091207.787228941,7086382.830275288,538169.2336931751,210901.1984726751,170
1073741824,1024 MB,8,4096,4 KB,4,262144,2024270.0860926923,4357182.297831529,6381452.383924222,530434.0717065919,246430.31909277174,171
1073741824,1024 MB,4,16384,16 KB,16,65536,2093479.0430463464,5815839.148915764,7909318.19196211,512898.29127571976,184623.71405168172,172
1073741824,1024 MB,4,4096,4 KB,64,262144,2096233.7607615867,8714364.595663058,10810598.356424645,512224.2777016895,123215.15954638587,173
1073741824,1024 MB,4,4096,4 KB,32,262144,2226387.521523173,8714364.595663058,10940752.11718623,482279.8428484743,123215.15954638587,174
1073741824,1024 MB,16,1048576,1 MB,1,1024,2443420.172185385,1216190.1216754522,3659610.2938608374,439442.15416689863,882873.3311209499,175
1073741824,1024 MB,16,262144,256 KB,1,4096,2444956.172185385,1227512.4867018089,3672468.658887194,439166.0824906538,874729.858663211,176
1073741824,1024 MB,16,65536,64 KB,1,16384,2451100.172185385,1272801.9468072352,3723902.11899262,438065.255832714,843604.7938907004,177
1073741824,1024 MB,16,16384,16 KB,1,65536,2475676.172185385,1453959.787228941,3929635.959414326,433716.58864905674,738494.8562067269,178
1073741824,1024 MB,4,1048576,1 MB,8,1024,2485070.086092693,4864760.486701809,7349830.572794502,432077.07903653453,220718.33278023748,179
1073741824,1024 MB,4,4096,4 KB,16,262144,2486695.0430463464,8714364.595663058,11201059.638709404,431794.73373807984,123215.15954638587,180
1073741824,1024 MB,4,262144,256 KB,8,4096,2491214.086092693,4910049.9468072355,7401264.032899928,431011.4614373003,218682.46466580275,181
1073741824,1024 MB,4,65536,64 KB,8,16384,2515790.086092693,5091207.787228941,7606997.873321634,426801.0395365071,210901.1984726751,182
1073741824,1024 MB,16,4096,4 KB,1,262144,2573980.172185385,2178591.1489157644,4752571.32110115,417152.3291449295,492860.6381855435,183
1073741824,1024 MB,4,16384,16 KB,8,65536,2614094.086092693,5815839.148915764,8429933.235008456,410751.0244992484,184623.71405168172,184
1073741824,1024 MB,8,1048576,1 MB,2,1024,2804380.1721853847,2432380.2433509044,5236760.415536289,382880.26518289756,441436.66556047497,185
1073741824,1024 MB,8,262144,256 KB,2,4096,2807452.1721853847,2455024.9734036177,5262477.145589002,382461.3058908052,437364.9293316055,186
1073741824,1024 MB,8,65536,64 KB,2,16384,2819740.1721853847,2545603.8936144705,5365344.065799855,380794.5975276925,421802.3969453502,187
1073741824,1024 MB,8,16384,16 KB,2,65536,2868892.1721853847,2907919.574457882,5776811.746643267,374270.5405278703,369247.42810336343,188
1073741824,1024 MB,4,4096,4 KB,8,262144,3007310.086092693,8714364.595663058,11721674.681755751,357043.9340344448,123215.15954638587,189
1073741824,1024 MB,8,4096,4 KB,2,262144,3065500.1721853847,4357182.297831529,7422682.4700169135,350266.43734765577,246430.31909277174,190
1073741824,1024 MB,4,1048576,1 MB,4,1024,3526300.1721853847,4864760.486701809,8391060.658887193,304495.29863323027,220718.33278023748,191
1073741824,1024 MB,4,262144,256 KB,4,4096,3532444.1721853847,4910049.9468072355,8442494.11899262,303965.6882491417,218682.46466580275,192
1073741824,1024 MB,4,65536,64 KB,4,16384,3557020.1721853847,5091207.787228941,8648227.959414326,301865.5425111935,210901.1984726751,193
1073741824,1024 MB,4,16384,16 KB,4,65536,3655324.1721853847,5815839.148915764,9471163.321101148,293747.3595831718,184623.71405168172,194
1073741824,1024 MB,4,4096,4 KB,4,262144,4048540.1721853847,8714364.595663058,12762904.767848443,265217.03585329594,123215.15954638587,195
